"State,City",Population
"Florida,Deltona",212616
"Michigan,Kalamazoo",212033
"California,Thousand Oaks",211045
"North Carolina,Hickory",211042
"New York,Yonkers",209730
"California,Moreno Valley",208371
"California,Fontana",208087
"Texas,College Station",207514
"North Dakota,Fargo",207310
"Texas,Amarillo",204357
"Connecticut,Norwich",201726
"Washington,Olympia",200836
"Connecticut,Waterbury",199552
"California,Salinas",199290
"West Virginia,Huntington",199133
"California,Huntington Beach",198735
"Tennessee,Clarksville",198689
"California,Santa Barbara",198240
"California,Glendale",196512
"Nevada,Sunrise Manor",196411
"Texas,Grand Prairie",195992
"Kansas,Overland Park",195249
"Maryland,Hagerstown",194602
"Idaho,Nampa",194547
"North Carolina,Gastonia",194190
"Texas,Frisco",193140
"Iowa,Cedar Rapids",192714
"California,Hemet",191170
"Nevada,Paradise",189852
"South Dakota,Sioux Falls",189258
"Washington,Vancouver",188331
"Arizona,Peoria",187733
"Texas,Waco",187172
"Ohio,Lorain",186500
"Pennsylvania,Erie",186489
"Virginia,Newport News",185069
"Illinois,Aurora",183447
"Florida,Fort Lauderdale",182247
"California,Vallejo",181882
"Tennessee,Murfreesboro",181450
"Florida,Spring Hill",179668
"Arizona,Tempe",178862
"North Carolina,High Point",178800
"Oregon,Medford",178457
"Connecticut,Danbury",177722
"California,Elk Grove",175510
"California,Ontario",175223
"Maryland,Frederick",175032
"Florida,Vero Beach South",174748
"Florida,Ocala",174618
"California,Oceanside",174461
"California,Rancho Cucamonga",173946
"California,Garden Grove",172708
"North Carolina,Cary",171603
"Florida,Pembroke Pines",170346
"Puerto Rico,Bayamón",170028
"California,Palmdale",167987
"New Hampshire,Manchester",167568
"Indiana,Lafayette",166793
"California,Santa Cruz",165933
"Washington,Marysville",164655
"Michigan,Muskegon",164136
"Illinois,Springfield",162588
"California,Hayward",162254
"Massachusetts,New Bedford",158353
"Virginia,Alexandria",158185
"New Jersey,Paterson",157927
"California,Corona",157844
"California,Merced",157617
"Georgia,Warner Robins",157416
"Texas,Port Arthur",156988
"Georgia,Macon",156711
"Kansas,Kansas City",155745
"Colorado,Lakewood",155608
"California,Sunnyvale",155550
"Virginia,Fredericksburg",155414
"Florida,Leesburg",154301
"Illinois,Champaign",153278
"Florida,Hollywood",152597
"Texas,Pasadena",151964
"California,Pomona",151592
"California,Escondido",151443
"Illinois,Joliet",150323
"Louisiana,Lake Charles",150036
"Texas,Mesquite",149848
"South Carolina,Mauldin",149687
"Florida,Panama City",149366
"Washington,Bellevue",149365
"Illinois,Naperville",149013
"Texas,Harlingen",148545
"Alabama,Tuscaloosa",148523
"Indiana,Elkhart",147679
"California,Torrance",147156
"New York,Binghamton",146870
"Louisiana,Houma",146665
